Time[s], solidMass[kg], liquidMass[kg], dmdt[kg/s], deltaT[s], massErrRel[%]
10, 4.49942e-09, 0.000278553, 8.77543e-12, 0.032298, 3.36859e-06
20, 4.58728e-09, 0.000278553, 8.72328e-12, 0.0320513, 5.53741e-06
30, 4.67211e-09, 0.000278553, 8.23459e-12, 0.0320513, -1.44678e-05
40, 4.75451e-09, 0.000278553, 8.13343e-12, 0.0320513, -6.04805e-07
50, 4.83564e-09, 0.000278553, 8.0795e-12, 0.0320513, -8.73734e-06
60, 4.91694e-09, 0.000278553, 8.01403e-12, 0.0320513, -9.29341e-06
70, 4.99428e-09, 0.000278553, 7.47306e-12, 0.0320513, -2.42469e-06
