Time[s], solidMass[kg], liquidMass[kg], dmdt[kg/s], deltaT[s], massErrRel[%]
1, 4.00053e-06, 0.000158024, 5.50644e-10, 0.00228833, 4.26046e-09
2, 4.00109e-06, 0.000158024, 5.76693e-10, 0.00228833, 3.90189e-07
3, 4.00167e-06, 0.000158024, 5.89266e-10, 0.00228833, -1.78087e-06
4, 4.00226e-06, 0.000158024, 5.81071e-10, 0.00228833, 1.23261e-06
5, 4.00284e-06, 0.000158023, 5.63793e-10, 0.00228833, 9.62711e-07
6, 4.00341e-06, 0.000158023, 5.64158e-10, 0.00228833, -1.60734e-06
7, 4.00397e-06, 0.000158023, 5.71101e-10, 0.00228833, 1.85853e-06
